Hospital,Region,Medicine,Month,Demand,Inventory,LeadTimeDays
HOSP_000,SW,FluVax,1,419,171,7
HOSP_000,SW,FluVax,2,441,137,14
HOSP_000,SW,FluVax,3,319,393,10
HOSP_000,SW,FluVax,4,347,241,10
HOSP_000,SW,FluVax,5,327,219,10
HOSP_000,SW,FluVax,6,148,239,21
HOSP_000,SW,FluVax,7,203,180,14
HOSP_000,SW,FluVax,8,142,378,3
HOSP_000,SW,FluVax,9,189,395,14
HOSP_000,SW,FluVax,10,292,313,7
HOSP_000,SW,FluVax,11,538,103,3
HOSP_000,SW,FluVax,12,491,267,10
HOSP_000,SW,Insulin,1,519,320,21
HOSP_000,SW,Insulin,2,371,345,14
HOSP_000,SW,Insulin,3,288,266,10
HOSP_000,SW,Insulin,4,221,206,14
HOSP_000,SW,Insulin,5,152,185,7
HOSP_000,SW,Insulin,6,265,212,7
HOSP_000,SW,Insulin,7,154,77,2
HOSP_000,SW,Insulin,8,417,82,21
HOSP_000,SW,Insulin,9,227,84,2
HOSP_000,SW,Insulin,10,393,180,2
HOSP_000,SW,Insulin,11,455,64,3
HOSP_000,SW,Insulin,12,330,228,2
HOSP_000,SW,Antibiotic,1,255,280,14
HOSP_000,SW,Antibiotic,2,195,85,14
HOSP_000,SW,Antibiotic,3,375,219,14
HOSP_000,SW,Antibiotic,4,290,333,10
HOSP_000,SW,Antibiotic,5,210,397,2
HOSP_000,SW,Antibiotic,6,299,332,21
HOSP_000,SW,Antibiotic,7,265,214,2
HOSP_000,SW,Antibiotic,8,309,201,7
HOSP_000,SW,Antibiotic,9,194,367,2
HOSP_000,SW,Antibiotic,10,143,344,3
HOSP_000,SW,Antibiotic,11,293,103,14
HOSP_000,SW,Antibiotic,12,376,175,3
HOSP_000,SW,PainRelief,1,467,172,2
HOSP_000,SW,PainRelief,2,183,374,10
HOSP_000,SW,PainRelief,3,513,146,2
HOSP_000,SW,PainRelief,4,202,398,7
HOSP_000,SW,PainRelief,5,423,196,10
HOSP_000,SW,PainRelief,6,187,177,3
HOSP_000,SW,PainRelief,7,138,200,21
HOSP_000,SW,PainRelief,8,132,301,3
HOSP_000,SW,PainRelief,9,253,209,7
HOSP_000,SW,PainRelief,10,233,196,7
HOSP_000,SW,PainRelief,11,241,124,2
HOSP_000,SW,PainRelief,12,327,153,10
HOSP_000,SW,Antiviral,1,343,398,3
HOSP_000,SW,Antiviral,2,215,243,21
HOSP_000,SW,Antiviral,3,370,338,21
HOSP_000,SW,Antiviral,4,264,184,7
HOSP_000,SW,Antiviral,5,176,71,21
HOSP_000,SW,Antiviral,6,328,100,21
HOSP_000,SW,Antiviral,7,172,333,2
HOSP_000,SW,Antiviral,8,191,353,7
HOSP_000,SW,Antiviral,9,360,269,21
HOSP_000,SW,Antiviral,10,334,55,7
HOSP_000,SW,Antiviral,11,173,230,7
HOSP_000,SW,Antiviral,12,422,240,14
HOSP_000,SW,PPE_Mask,1,407,67,2
HOSP_000,SW,PPE_Mask,2,151,107,7
HOSP_000,SW,PPE_Mask,3,169,200,3
HOSP_000,SW,PPE_Mask,4,250,322,2
HOSP_000,SW,PPE_Mask,5,274,75,7
HOSP_000,SW,PPE_Mask,6,310,62,10
HOSP_000,SW,PPE_Mask,7,177,313,21
HOSP_000,SW,PPE_Mask,8,485,192,10
HOSP_000,SW,PPE_Mask,9,160,202,3
HOSP_000,SW,PPE_Mask,10,308,199,3
HOSP_000,SW,PPE_Mask,11,203,313,14
HOSP_000,SW,PPE_Mask,12,238,54,10
HOSP_001,NW,FluVax,1,286,357,14
HOSP_001,NW,FluVax,2,385,207,7
HOSP_001,NW,FluVax,3,231,395,14
HOSP_001,NW,FluVax,4,139,328,2
HOSP_001,NW,FluVax,5,273,339,21
HOSP_001,NW,FluVax,6,160,286,14
HOSP_001,NW,FluVax,7,360,327,14
HOSP_001,NW,FluVax,8,217,203,7
HOSP_001,NW,FluVax,9,352,96,2
HOSP_001,NW,FluVax,10,397,253,3
HOSP_001,NW,FluVax,11,277,271,14
HOSP_001,NW,FluVax,12,137,295,14
HOSP_001,NW,Insulin,1,470,145,2
HOSP_001,NW,Insulin,2,93,65,3
HOSP_001,NW,Insulin,3,254,227,7
HOSP_001,NW,Insulin,4,379,228,7
HOSP_001,NW,Insulin,5,264,92,10
HOSP_001,NW,Insulin,6,138,144,21
HOSP_001,NW,Insulin,7,151,142,3
HOSP_001,NW,Insulin,8,351,164,2
HOSP_001,NW,Insulin,9,216,266,14
HOSP_001,NW,Insulin,10,457,241,7
HOSP_001,NW,Insulin,11,229,201,21
HOSP_001,NW,Insulin,12,123,232,14
HOSP_001,NW,Antibiotic,1,332,391,14
HOSP_001,NW,Antibiotic,2,469,149,10
HOSP_001,NW,Antibiotic,3,419,255,10
HOSP_001,NW,Antibiotic,4,250,193,14
HOSP_001,NW,Antibiotic,5,260,102,2
HOSP_001,NW,Antibiotic,6,259,91,3
HOSP_001,NW,Antibiotic,7,231,284,7
HOSP_001,NW,Antibiotic,8,166,58,3
HOSP_001,NW,Antibiotic,9,339,332,3
HOSP_001,NW,Antibiotic,10,124,214,21
HOSP_001,NW,Antibiotic,11,332,376,2
HOSP_001,NW,Antibiotic,12,175,119,10
HOSP_001,NW,PainRelief,1,316,251,3
HOSP_001,NW,PainRelief,2,234,222,14
HOSP_001,NW,PainRelief,3,268,50,7
HOSP_001,NW,PainRelief,4,357,240,10
HOSP_001,NW,PainRelief,5,110,107,10
